country,country_code,continent,population,indicator,daily_count,date,rate_14_day,source
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-02,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-03,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-04,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-05,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-06,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-07,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-08,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-09,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-10,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-11,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-12,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-13,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-14,,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-15,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-16,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-17,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-18,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-19,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-20,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-21,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-22,0,"Epidemic intelligence, national daily data"
Afghanistan,AFG,Asia,38928341,confirmed cases,0,2020-01-23,0,"Epidemic intelligence, national daily data"
